num_threads,num_cpp_chains,num_chains,num_samples,min,median,max
1,1,1,10000,40.216753959,45.8538806045,53.772639042
1,1,2,5000,23.316980959,26.0373739165,28.996788958
1,1,4,2500,15.217884083,16.8318216875,18.469491292
1,1,8,1250,10.388040792,10.995918958499999,11.202966083
1,2,1,5000,42.71392225,47.117947458,55.502865292
1,2,2,2500,29.416414292,30.512983125,31.920730041
1,2,4,1250,20.08248475,20.6466262915,21.405580125
1,4,1,2500,54.211649792,58.142740438000004,62.668776083
1,4,2,1250,35.470885958,38.689530145999996,39.339494625
1,8,1,1250,68.766419084,72.5027696875,83.1379315
2,1,1,10000,40.983661375,44.771011354500004,47.588494333
2,1,2,5000,21.580818166,27.2181235415,149.382971792
2,1,4,2500,15.78289775,17.180019729,217.043321459
2,1,8,1250,10.537363541,11.605343979499999,35.661744084
2,2,1,5000,22.39950625,29.871847875500002,623.272130375
2,2,2,2500,15.459844791,16.5859639165,17.598057084
2,2,4,1250,14.182410625,15.156631604000001,16.126609292
2,4,1,2500,28.504587917,29.481302020999998,31.470209792
2,4,2,1250,21.077641875,21.62676725,22.609627
2,8,1,1250,36.292715167,39.0695070205,39.513001958
4,1,1,10000,37.769379458,40.287909313,54.0346375
4,1,2,5000,22.906375459,27.1472524795,31.064919958
4,1,4,2500,15.042549083,17.565797854,18.074083667
4,1,8,1250,13.870318125,14.8436876035,16.274417125
4,2,1,5000,25.62717025,26.8212744585,29.837438667
4,2,2,2500,16.475677292,18.8651534585,19.486062417
4,2,4,1250,10.742390625,13.019686437499999,14.99440425
4,4,1,2500,15.631969709,16.8588892295,18.216117333
4,4,2,1250,10.631809333,11.532346521000001,11.906777666
4,8,1,1250,19.668354,20.2480055835,22.842087417
8,1,1,10000,40.720892791,46.3501082505,48.149439042
8,1,2,5000,25.781171667,26.509563375,29.534830084
8,1,4,2500,16.352590958,17.234311083,17.880299042
8,1,8,1250,10.21501325,11.1469725,11.59816175
8,2,1,5000,21.439517667,26.707198437,1017.82609
8,2,2,2500,14.89756,16.89238825,17.838901083
8,2,4,1250,10.860854375,11.201224208500001,11.3463735
8,4,1,2500,15.602375167,16.7503397915,17.350852333
8,4,2,1250,10.936374625,11.502283542,12.12286825
8,8,1,1250,10.750426958,11.509186249999999,12.143680667
