num_threads,num_chains,num_samples,min,median,max
1,1,10000,29.448205458,37.864344521,40.774304375
1,2,5000,18.514323875,21.1864552285,942.970788125
1,4,2500,11.993961792,13.6383685625,14.319799209
1,8,1250,8.902282583,9.1782636665,10.313379
2,1,10000,30.723817208,34.962165959000004,36.714354875
2,2,5000,18.671116166,21.526587938,24.532850666
2,4,2500,12.050196334,12.527419271,13.904029833
2,8,1250,8.253949875,9.164267375,10.377894958
4,1,10000,30.787170875,36.33789625,44.522826709
4,2,5000,17.538896917,20.506852332999998,21.462289667
4,4,2500,12.091186,13.290165583499999,15.228947792
4,8,1250,8.817817292,9.3849267285,10.690660375
8,1,10000,33.386382666,37.518342791500004,43.433281125
8,2,5000,19.487988625,20.6919922915,32.990645458
8,4,2500,12.587939958,13.798205667000001,20.920632875
8,8,1250,10.121289333,10.5921112085,12.863098
