num_threads,num_chains,num_samples,min,median,max
1,1,10000,55.400189166,64.995226206,72.840960369
1,2,5000,35.279535775,36.4386018005,46.403451643
1,4,2500,22.915223259,25.1979718245,26.390514548
1,8,1250,20.312873577,21.023031691,21.595289419
2,1,10000,60.049865092,63.9555483555,253.281229804
2,2,5000,38.137308333,39.64012547,42.308234662
2,4,2500,22.932682862,24.390234882999998,27.89972275
2,8,1250,19.968402028,20.4474562045,20.745797638
4,1,10000,54.063105363,62.7714009785,1023.533073549
4,2,5000,31.722336329,35.881395364,42.432319046
4,4,2500,23.039992693,23.925366068499997,24.533929467
4,8,1250,18.797322464,19.772017486000003,22.26366933
8,1,10000,46.691283883,68.38271824949999,2169.18144005
8,2,5000,29.4722829,35.726919406,37.850231242
8,4,2500,23.566173108,24.799367613999998,25.396824061
8,8,1250,17.031712638,20.48420361,471.83893673
