num_threads,num_cpp_chains,num_chains,num_samples,min,median,max
1,1,1,10000,51.182937556,62.5559843675,82.4886081
1,1,2,5000,30.356775675,35.276649054,38.337590845
1,1,4,2500,21.854111642,24.025360527,25.698431757
1,1,8,1250,17.36864859,18.868682982499998,19.791112151
1,2,1,5000,60.24317238,67.0769806125,71.518939313
1,2,2,2500,38.495890839,39.48005648,44.28587971
1,2,4,1250,27.302152728,29.3023138615,30.75631489
1,4,1,2500,73.610334061,77.16877445,83.443030949
1,4,2,1250,48.059044837,50.2145742265,54.005095585
1,8,1,1250,94.133261188,98.44663349999999,107.106659445
2,1,1,10000,50.19130227,51.78684364,60.253305341
2,1,2,5000,31.969206529,37.399414469,38.510275389
2,1,4,2500,21.109825347,23.3924247615,24.167929347
2,1,8,1250,16.677309979,18.187843317000002,19.227973527
2,2,1,5000,30.866694921,34.756359337999996,41.274948947
2,2,2,2500,21.138577844,23.904619251,27.128444983
2,2,4,1250,16.939899716,18.9074059165,19.828674824
2,4,1,2500,37.174595667,40.645091433000005,44.284793838
2,4,2,1250,28.4702811,29.894929228499997,30.763576976
2,8,1,1250,50.420522523,53.8402418125,55.071664315
4,1,1,10000,44.971246586,55.293996395,65.038273598
4,1,2,5000,29.668261411,36.699438735499996,40.515189849
4,1,4,2500,22.514030646,23.9770089505,26.406988845
4,1,8,1250,17.862367011,18.5580822255,19.92925358
4,2,1,5000,32.933992756,38.5561755875,44.07629346
4,2,2,2500,20.577205101,22.2261030415,24.278666114
4,2,4,1250,17.643159165,18.882912655,19.697896974
4,4,1,2500,22.95065347,24.376975499,28.683549626
4,4,2,1250,18.212235457,19.092606699,19.601347367
4,8,1,1250,28.191640922,30.1667953695,32.186468462
8,1,1,10000,46.904965003,58.255293654,68.387661301
8,1,2,5000,31.30447099,36.237609714499996,40.304031184
8,1,4,2500,23.394114166,24.003595061,25.819504498
8,1,8,1250,16.634724446,18.096699139000002,18.652501446
8,2,1,5000,29.186582897,34.2222316485,40.841002699
8,2,2,2500,22.606721225,24.3131503745,27.678686813
8,2,4,1250,18.002175393,18.917586974499997,20.044010267
8,4,1,2500,23.108523188,24.960598288,25.727860793
8,4,2,1250,17.460342171,18.986605105499997,19.935337156
8,8,1,1250,18.399574059,19.5348864395,20.608168793
